City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,81.3,broken clouds,3.07,172.79,Isles Sunset Lodge
4,Safaga,EG,71.6,clear sky,26.73,33.94,Lamar Resort Abu Soma
6,Hithadhoo,MV,82.24,broken clouds,-0.6,73.08,Scoop Guest House
8,Pringsewu,ID,73.99,overcast clouds,-5.36,104.97,Urban Style by Front One
10,Itoman,JP,71.6,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
14,Lorengau,PG,82.06,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
16,Poum,NC,76.5,clear sky,-20.23,164.02,Gîte kajeon
24,Abu Dhabi,AE,80.6,scattered clouds,24.47,54.37,Beach Rotana
32,Cabo San Lucas,MX,84.99,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
33,Doha,QA,73.4,clear sky,25.29,51.53,Doha Marriott Hotel
35,Rikitea,PF,73.24,broken clouds,-23.12,-134.97,Pension Maro'i
36,Kununurra,AU,82.4,broken clouds,-15.77,128.73,Hotel Kununurra
37,Lotofaga,WS,71.6,broken clouds,-13.98,-171.86,Sataoa Beach Fales
41,Kapaa,US,73.99,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
49,Padang,ID,76.12,light rain,-0.95,100.35,Mercure Padang
54,Hilo,US,75.2,light rain,19.73,-155.09,Hilo Hawaiian Hotel
55,Necochea,AR,73.71,moderate rain,-38.55,-58.74,dyd -mar Hotel
57,Bandarbeyla,SO,77.11,clear sky,9.49,50.81,JABIR HOTEL
60,Namibe,AO,71.11,broken clouds,-15.2,12.15,Hotel Chik Chik Namibe
68,Castro,BR,75.92,clear sky,-24.79,-50.01,CHACARA BAILLY
70,Puerto Ayora,EC,75.2,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
72,Cidreira,BR,72.34,clear sky,-30.18,-50.21,Hotel Castelo
74,Arraial Do Cabo,BR,78.8,broken clouds,-22.97,-42.03,Pousada Porto Praia
77,Georgetown,MY,78.8,scattered clouds,5.41,100.34,Cititel Penang
80,Mar Del Plata,AR,73.0,light rain,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
86,Lauro Muller,BR,81.03,scattered clouds,-28.39,-49.4,Hotel Restaurante Chaminé
87,Atuona,PF,77.65,few clouds,-9.8,-139.03,Villa Enata
91,Fare,PF,81.21,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
92,Sechura,PE,77.09,broken clouds,-5.56,-80.82,Hospedaje Costa Bella
94,Hermosillo,MX,77.0,broken clouds,29.07,-110.97,Hotel San Andrés
96,Kavieng,PG,83.53,broken clouds,-2.57,150.8,Nusa Island Retreat
98,Saint-Philippe,RE,73.4,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
104,Auki,SB,77.54,overcast clouds,-8.77,160.7,Auki Motel
106,Huarmey,PE,70.99,broken clouds,-10.07,-78.15,Hotel Miramar
113,Hambantota,LK,78.57,light rain,6.12,81.12,Bungalow 63
114,Avarua,CK,73.4,overcast clouds,-21.21,-159.78,Paradise Inn
117,Visakhapatnam,IN,78.8,haze,17.69,83.21,Best Western Ramachandra Hotel
119,Chuy,UY,76.14,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
123,Maldonado,UY,82.4,clear sky,-34.67,-54.92,La Cimarrona
127,Vanimo,PG,79.2,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
130,Richards Bay,ZA,74.16,heavy intensity rain,-28.78,32.04,BON Hotel Waterfront Richards Bay
137,Mersing,MY,77.0,light rain,2.43,103.84,Timotel Hotel
139,Bambous Virieux,MU,75.0,scattered clouds,-20.34,57.76,Casa Tia Villa
141,Sal Rei,CV,82.4,broken clouds,16.18,-22.92,Marine Club Beach Resort
145,Veraval,IN,73.92,clear sky,20.9,70.37,Lords Inn Somnath
152,Uchiza,PE,82.62,light rain,-8.46,-76.46,JIRON CARLOS AREVALO
153,Ambilobe,MG,78.85,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
157,Benguela,AO,77.29,overcast clouds,-12.58,13.41,Hotel Praia Morena
159,Boyolangu,ID,77.05,light rain,-8.12,111.89,Yos ega cv
160,Vao,NC,72.86,broken clouds,-22.67,167.48,Hotel Kou-Bugny
162,San Patricio,US,73.99,scattered clouds,28.02,-97.52,"Motel 6 Sinton, TX"
173,Piacabucu,BR,83.37,broken clouds,-10.41,-36.43,Piaçabuçu News
180,Faanui,PF,80.78,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
181,Victoria,HK,73.0,clear sky,22.29,114.16,Mini Hotel Central
183,Banda Aceh,ID,79.54,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
186,Bambanglipuro,ID,78.87,moderate rain,-7.95,110.28,Puri Brata
189,Boueni,YT,82.4,clear sky,-12.9,45.08,Santal Logis
190,Mana,GF,81.88,light rain,5.66,-53.78,LE SAMANA
191,Ambon,ID,78.01,moderate rain,-3.7,128.18,Swiss-Belhotel Ambon
193,Mahebourg,MU,73.4,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
195,Port Blair,IN,80.85,few clouds,11.67,92.75,Fortune Resort Bay Island
202,Road Town,VG,84.2,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
207,Sampit,ID,74.39,few clouds,-2.53,112.95,Aquarius Boutique Hotel Sampit
210,Inhambane,MZ,80.6,few clouds,-23.86,35.38,Oceano
213,Yulara,AU,80.6,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
214,Mitsamiouli,KM,81.95,clear sky,-11.38,43.28,Foyer ADM
216,Hervey Bay,AU,73.99,scattered clouds,-25.3,152.85,Shelly Bay Resort
217,Zhuhai,CN,73.4,scattered clouds,22.28,113.57,珠海粤财假日酒店
218,Sao Jose Da Coroa Grande,BR,81.93,broken clouds,-8.9,-35.15,Crôa Mares Hotel
219,Vangaindrano,MG,75.72,broken clouds,-23.35,47.6,Hotel Fanilo
223,Vryburg,ZA,83.25,scattered clouds,-26.96,24.73,Times Premier Lodge
224,Sur,OM,75.25,clear sky,22.57,59.53,Sur Plaza Hotel
226,Quatre Cocos,MU,75.0,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
229,Sao Joao Da Barra,BR,78.8,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
230,Mount Isa,AU,71.6,scattered clouds,-20.73,139.5,ibis Styles Mt Isa Verona
232,Grand Gaube,MU,75.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
233,Saint-Leu,RE,73.4,clear sky,-21.15,55.28,La Caz Oceane
236,Palu,ID,77.54,overcast clouds,-0.89,119.87,Hotel Santika Palu
237,Paita,PE,77.0,clear sky,-5.09,-81.11,Hotel Náutico de Paita
247,Berbera,SO,79.7,overcast clouds,10.44,45.01,Damal Hotel
248,Puerto Baquerizo Moreno,EC,77.0,broken clouds,-0.9,-89.6,Hotel los Algarrobos
254,Cururupu,BR,83.05,moderate rain,-1.83,-44.87,Pousada Través'cia
258,Surin,TH,78.01,overcast clouds,14.88,103.49,Thananda Resort
259,Mecca,SA,77.04,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
262,Nanakuli,US,75.2,few clouds,21.39,-158.15,Camp Pālehua
263,Labuhan,ID,80.38,moderate rain,-6.88,112.21,bador sepret
265,Hirara,JP,73.09,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
268,Isangel,VU,72.64,clear sky,-19.55,169.27,Volcano Sea View Tree House
269,Pangkalanbuun,ID,74.41,light rain,-2.68,111.62,Grand Kecubung Hotel
270,Bengkulu,ID,73.09,heavy intensity rain,-3.8,102.27,Grage Hotel Bengkulu
275,Carnarvon,AU,73.4,clear sky,-24.87,113.63,Hospitality Carnarvon
277,Cap Malheureux,MU,75.0,clear sky,-19.98,57.61,Pereybere Hotel & Spa
278,Karratha,AU,80.58,broken clouds,-20.74,116.85,ibis Styles Karratha
283,Salalah,OM,82.4,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
284,Kavaratti,IN,82.71,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
286,Eyl,SO,79.21,broken clouds,7.98,49.82,Amiin Hotel
292,Atar,MR,83.86,broken clouds,20.52,-13.05,Oumou Elghoura
296,Caravelas,BR,72.97,light rain,-17.71,-39.25,Pousada dos Navegantes
299,Imbituba,BR,77.0,broken clouds,-28.24,-48.67,Praia Hotel Imbituba
302,Port Hedland,AU,82.4,scattered clouds,-20.32,118.57,The Esplanade Hotel
303,Mogadishu,SO,81.01,broken clouds,2.04,45.34,Hotel Juba
305,Samarai,PG,80.67,light rain,-10.62,150.67,Nuli Sapi
316,Altamira,BR,84.2,broken clouds,-3.2,-52.21,Requinte Hotel
319,Nouadhibou,MR,82.4,few clouds,20.93,-17.03,El Medina
320,Sola,VU,78.31,light rain,-13.88,167.55,Ulkel Guest House
328,Dosso,NE,82.06,clear sky,13.05,3.19,Hotel Toubal
330,Sainte-Rose,GP,84.2,broken clouds,16.33,-61.7,Villa - Duzer
335,Kahului,US,75.2,scattered clouds,20.89,-156.47,Maui Seaside Hotel
336,Hendrina,ZA,72.0,few clouds,-26.16,29.72,Macrest
338,Tabou,CI,80.92,light rain,4.42,-7.35,hotêl doufoulougou
340,Maloh,PH,78.49,broken clouds,9.06,122.99,Edz
345,Kattivakkam,IN,80.6,light rain,13.22,80.32,St. Joseph Thirumana mandapam
350,Sabinopolis,BR,73.69,light rain,-18.67,-43.08,Hotel São Joaquim
354,Kasane,BW,78.8,thunderstorm,-17.82,25.15,The Old House
358,Kanigoro,ID,75.25,light rain,-8.13,112.22,Musafer Villa ( Villa Erlin )
359,Mfou,CM,75.83,overcast clouds,3.72,11.64,Oasis De La Paix
361,Araceli,PH,83.39,broken clouds,10.55,119.99,JBryan Traveler's Inn
365,Lambarene,GA,76.95,moderate rain,-0.7,10.24,Le Refuge
366,Cockburn Town,TC,79.48,broken clouds,21.46,-71.14,Osprey Beach Hotel
367,Quelimane,MZ,82.4,few clouds,-17.88,36.89,Hotel Flamingo
370,Alofi,NU,73.4,broken clouds,-19.06,-169.92,Taloa Heights
376,Jieshi,CN,71.01,clear sky,22.81,115.83,Yuehai Hotel
378,Bandundu,CD,72.59,light rain,-3.32,17.37,Coja Color
383,Le Port,RE,71.6,clear sky,-20.94,55.29,Villa Maido
384,Santa Vitoria Do Palmar,BR,76.06,clear sky,-33.52,-53.37,Hostel Comodoro
395,Abu Zabad,SD,79.92,broken clouds,12.35,29.25,محي الدين نوري
396,Rocha,UY,80.4,clear sky,-34.48,-54.33,Beleza Pura B&B
397,Mangrol,IN,73.94,clear sky,21.12,70.12,Hotel The Royal Honours
404,Thaba Nchu,ZA,75.2,clear sky,-29.21,26.84,Real Time Guest House
405,Bull Savanna,JM,79.52,light rain,17.89,-77.59,Big Red's
407,Naliya,IN,71.69,clear sky,23.27,68.83,Hotel Panchvati
410,Calabozo,VE,82.63,light rain,8.92,-67.43,Hotel Giardini
412,Presidente Olegario,BR,81.0,moderate rain,-18.42,-46.42,Cruzeiro Hotel
415,Weston,US,80.01,broken clouds,26.1,-80.4,Courtyard by Marriott Fort Lauderdale Weston
419,Ojinaga,MX,70.0,clear sky,29.57,-104.42,Suites Las Palmas
420,Olinda,BR,82.4,broken clouds,-8.01,-34.86,Hotel 5 Sóis
421,Kokoda,PG,74.88,moderate rain,-8.88,147.74,Daito Guest House
426,Rio Grande,BR,80.6,few clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
428,Kloulklubed,PW,77.0,broken clouds,7.04,134.26,Storyboard Beach Resort
438,Chipata,ZM,81.45,few clouds,-13.63,32.65,Protea Hotel by Marriott Chipata
443,Tual,ID,83.57,light rain,-5.67,132.75,Grand Vilia Hotel
444,Tamiahua,MX,76.03,few clouds,21.27,-97.45,Mission Of The Sun Hotel
450,Tshela,CD,75.04,overcast clouds,-4.98,12.93,Hotel Mirador
451,Sumbe,AO,77.27,scattered clouds,-11.21,13.84,Hotel Ritz Sumbe
452,Devarkonda,IN,71.1,few clouds,16.7,78.93,VANAM ANJANEYULU
455,Atambua,ID,76.46,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
456,Emerald,AU,73.4,clear sky,-23.53,148.17,The Irish Village
470,Mochumi,PE,73.4,clear sky,-6.55,-79.86,Hospedaje La Posada del Sol
