City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Grand Gaube,MU,2020-11-22 17:20:09,-20.01,57.66,75.99,75,28,3.0
1,Orkney,ZA,2020-11-22 17:20:09,-26.98,26.67,73.87,61,48,14.45
2,Mataura,NZ,2020-11-22 17:20:10,-46.19,168.86,41.0,94,87,1.01
3,Marabba,SD,2020-11-22 17:20:10,12.35,32.18,83.48,20,46,10.94
4,Kuching,MY,2020-11-22 17:20:10,1.55,110.33,77.0,94,40,3.36
5,Athabasca,CA,2020-11-22 17:20:10,54.72,-113.29,12.2,92,86,2.24
6,San Cristobal,VE,2020-11-22 17:20:10,7.77,-72.22,86.0,58,40,6.93
7,Cherskiy,RU,2020-11-22 17:20:11,68.75,161.3,3.83,93,100,4.32
8,Bambous Virieux,MU,2020-11-22 17:20:11,-20.34,57.76,75.99,88,75,10.29
9,Yen Bai,VN,2020-11-22 17:20:11,21.7,104.87,74.82,82,88,2.89
10,Arraial Do Cabo,BR,2020-11-22 17:20:11,-22.97,-42.03,78.8,65,40,12.75
11,Atuona,PF,2020-11-22 17:20:11,-9.8,-139.03,77.14,72,8,14.83
12,Kodiak,US,2020-11-22 17:20:11,57.79,-152.41,26.6,79,1,8.05
13,Rikitea,PF,2020-11-22 17:20:11,-23.12,-134.97,74.25,73,81,10.04
14,Molina,CL,2020-11-22 17:20:12,-35.12,-71.28,82.0,33,0,9.17
15,Podgorenskiy,RU,2020-11-22 17:20:12,50.41,39.64,25.14,98,96,3.71
16,Bereda,ES,2020-11-22 17:20:12,43.27,-7.54,54.0,78,0,1.16
17,Sao Gabriel Da Cachoeira,BR,2020-11-22 17:20:12,-0.13,-67.09,85.08,78,82,2.73
18,Gubkinskiy,RU,2020-11-22 17:20:12,64.43,76.5,10.2,95,1,9.75
19,Aparecida Do Taboado,BR,2020-11-22 17:20:12,-20.09,-51.09,93.69,21,0,7.34
20,Kuytun,RU,2020-11-22 17:20:13,54.34,101.5,23.2,98,96,6.87
21,Pangnirtung,CA,2020-11-22 17:20:13,66.15,-65.71,3.2,65,20,5.82
22,Cape Town,ZA,2020-11-22 17:18:08,-33.93,18.42,66.99,72,20,20.8
23,Barrow,US,2020-11-22 17:20:13,71.29,-156.79,10.4,85,1,14.99
24,Kushiro,JP,2020-11-22 17:16:26,42.98,144.37,33.37,91,100,18.99
25,East London,ZA,2020-11-22 17:19:37,-33.02,27.91,66.2,88,0,6.93
26,Vila Velha,BR,2020-11-22 17:20:14,-20.33,-40.29,81.0,69,20,10.29
27,Whitehorse,CA,2020-11-22 17:20:14,60.72,-135.05,14.0,92,75,20.8
28,Padang,ID,2020-11-22 17:20:14,-0.95,100.35,75.42,87,100,8.72
29,Husavik,IS,2020-11-22 17:20:14,66.04,-17.34,28.4,86,40,10.16
30,Almaznyy,RU,2020-11-22 17:20:14,48.04,40.05,30.2,92,75,6.71
31,Chuy,UY,2020-11-22 17:20:14,-33.7,-53.46,72.01,54,0,10.11
32,Takoradi,GH,2020-11-22 17:20:14,4.88,-1.76,80.19,81,91,11.23
33,Necochea,AR,2020-11-22 17:20:14,-38.55,-58.74,83.35,30,8,2.75
34,Killybegs,IE,2020-11-22 17:20:15,54.63,-8.45,46.4,81,75,8.05
35,Kavaratti,IN,2020-11-22 17:20:15,10.57,72.64,82.09,67,9,7.14
36,Yellowknife,CA,2020-11-22 17:20:15,62.46,-114.35,-6.0,76,75,10.29
37,Svetlopolyansk,RU,2020-11-22 17:20:15,59.42,52.36,22.17,95,97,12.95
